ID,Course,Format,Start date,Age C,Created Date,Close Date,Lost Deal Reason C,Contact C,Is Won,Scholarship Name C,Drop,Campaign ID,Days From Last Touch Point C,Days Until Closure C,Discount Name C,Drop Reason C,Lost Reason Notes C,Hours Before First Touch Point C,First Touch Point Type C,First Touch Point Date C,First Offer Date C,Cov ID Discount C,Fiscal Year,Financing Options C,Need Financing C,Is Closed,Is Private,Interest C,Ga Connector Browser C,Ga Connector First Click Campaign C,Ga Connector First Click Channel C,Ga Connector First Click Source C,Ga Connector First Click Landing Page C,Ga Connector First Click Content C,Days For First Touch Point C,Ga Connector First Click Re Ferrer C,Ga Connector Google Analytics Link C,Ga Connector Last Click Campaign C,Ga Connector Last Click Channel C,Ga Connector Last Click Content C,Ga Connector Last Click Landing Page C,Ga Connector Last Click Medium C,Ga Connector Last Click Source C,Financing Option Discount C,Leads Ource,Lead Source C C,Technical Interview Date C,Qualified C,Media Event C,Payment Plan C,Partnership Discount Amount C
0011t00001BHwyCAAT,DA,PT,16/06/2020,,10/03/2020,44124,Missed in application,0031t00001A44R0AAJ,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,DAPT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHwYQAA1,UX,PT,16/06/2020,,10/03/2020,44124,Missed in application,0031t00001A4428AAB,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,UXPT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHxCCAA1,WD,FT,28/09/2020,,10/03/2020,44124,Missed in application,0031t00001A44fqAAB,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,WDFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHxFjAAL,WD,FT,28/09/2020,,10/03/2020,44124,Missed in application,0031t00001A44jSAAR,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,WDFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHxJBAA1,WD,PT,16/06/2020,,10/03/2020,44124,Missed in application,0031t00001A44n4AAB,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,WDPT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHxzWAAT,UX,FT,22/06/2020,,10/03/2020,44124,Missed in application,0031t00001A45TkAAJ,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,UXFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHy8hAAD,DA,FT,22/06/2020,,10/03/2020,43909,Not Qualified,0031t00001A45d6AAB,FALSE,Vinted,FALSE,,,9,,,EasyLMS test failed,,,,,FALSE,2020,,,TRUE,FALSE,DAFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,43909,TRUE,,,
0011t00001BHy8hAAD,DA,FT,22/06/2020,,10/03/2020,44124,Missed in application,0031t00001A45d6AAB,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,DAFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHybKAAT,DA,FT,30/03/2020,,10/03/2020,44124,Missed in application,0031t00001A463PAAR,FALSE,Vinted,FALSE,,,224,,,,,,,,TRUE,2020,,,TRUE,FALSE,DAFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHytoAAD,UX,FT,19/10/2020,,10/03/2020,43921,Can not afford the payment,0031t00001A46POAAZ,FALSE,Vinted,FALSE,,247,21,,,rechaza beca,503.09,Call,43921,,FALSE,2020,,,TRUE,FALSE,UXFT,,,,,,,20.96,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,43909,TRUE,,,
0011t00001BI00CAAT,WD,FT,30/03/2020,,10/03/2020,44124,Missed in application,0031t00001A47Y4AAJ,FALSE,Vinted,FALSE,,,224,,,,,,,,TRUE,2020,,,TRUE,FALSE,WDFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BI0qRAAT,DA,PT,16/06/2020,,10/03/2020,44124,Missed in application,0031t00001A48PPAAZ,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,DAPT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BI13uAAD,UX,FT,30/03/2020,,10/03/2020,43921,Can not afford the payment,0031t00001A48dsAAB,FALSE,Vinted,FALSE,,266,21,,,didnt answer,47.23,Call,43902,,TRUE,2020,,,TRUE,FALSE,UXFT,,,,,,,1.97,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BI14mAAD,WD,FT,29/06/2020,,10/03/2020,43921,Test application,0031t00001A48efAAB,FALSE,Vinted,FALSE,,,21,,,test,,,,,FALSE,2020,,,TRUE,FALSE,WDFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,Google Natural Search,Vinted,,TRUE,,,
0011t00001BI18iAAD,DA,PT,16/06/2020,,10/03/2020,44124,Missed in application,0031t00001A48ihAAB,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,DAPT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
